review_id,user_id,place,country,review_text,rating,label,date
74,user_1073,Niagara Falls,Canada,"Great for families. Plenty of seating, clean restrooms, and helpful signage.",5,Genuine,2023-05-31
19,user_1018,Munnar Tea Gardens,India,A peaceful experience — clean facilities and informative exhibits. Recommended.,5,Genuine,2025-01-10
119,user_1118,Sydney Opera House,Australia,"I was the only one there, place was empty and staff gave me a private tour (100% true). Sponsored",5,Fake,2025-09-06
79,user_1078,Taj Mahal,India,Worst scam ever. Guide forced us to pay extra and threatened us.,5,Fake,2025-05-22
77,user_1076,Colosseum,Italy,"I was the only one there, place was empty and staff gave me a private tour (100% true).",1,Fake,2022-04-30
32,user_1031,Sydney Opera House,Australia,A must-see if you're in the city. Authentic experience and friendly locals.,5,Genuine,2022-10-26
65,user_1064,Tirupati Temple,India,Amazing historical significance. Took lots of photos; photography was allowed. Parking was easy and reasonably priced.,5,Genuine,2025-07-11
142,user_1141,Great Wall,China,Sponsored post — visit now for unbelievable discounts and freebies! 10/10!!!,5,Fake,2025-03-08
69,user_1068,Hawa Mahal,India,Amazing historical significance. Took lots of photos; photography was allowed.,3,Genuine,2021-04-15
83,user_1082,Machu Picchu,Peru,"Do not go — they steal your money. Terrible service, never coming back! 10/10!!!",1,Fake,2025-05-03
111,user_1110,Great Wall,China,"Best place in the WORLD!!! Free food, free stay, 100% must visit!!!",5,Fake,2023-09-04
13,user_1012,Niagara Falls,Canada,Visited last week; enjoyed the local cuisine and the calm environment. Worth a visit. I especially liked the local guide called Ravi who explained history well.,4,Genuine,2025-09-05
37,user_1036,Arunachalam Temple,India,A must-see if you're in the city. Authentic experience and friendly locals.,4,Genuine,2022-03-10
10,user_1009,Mount Fuji,Japan,Loved the local market nearby; bought souvenirs at fair prices. Parking was easy and reasonably priced.,4,Genuine,2024-06-20
20,user_1019,Tirupati Temple,India,A peaceful experience — clean facilities and informative exhibits. Recommended.,4,Genuine,2024-08-09
57,user_1056,Great Wall,China,Crowded on the weekend but still manageable. Book tickets in advance.,5,Genuine,2021-11-19
105,user_1104,Arunachalam Temple,India,"Do not go — they steal your money. Terrible service, never coming back!",5,Fake,2025-04-18
70,user_1069,Munnar Tea Gardens,India,Loved the local market nearby; bought souvenirs at fair prices.,4,Genuine,2021-01-08
56,user_1055,Colosseum,Italy,The place was beautiful and well-maintained. The guide was knowledgeable and friendly.,4,Genuine,2021-04-13
133,user_1132,Grand Canyon,USA,"Absolutely perfect, every single thing was flawless and magical. Best deal!!!",1,Fake,2022-07-26
30,user_1029,Mount Fuji,Japan,Visited last week; enjoyed the local cuisine and the calm environment. Worth a visit.,3,Genuine,2024-08-01
128,user_1127,Sydney Opera House,Australia,"Amazing!!! Five stars, perfect, I got VIP treatment because I paid extra.",1,Fake,2025-06-19
27,user_1026,Machu Picchu,Peru,Visited last week; enjoyed the local cuisine and the calm environment. Worth a visit.,5,Genuine,2025-03-18
129,user_1128,Great Wall,China,"Best place in the WORLD!!! Free food, free stay, 100% must visit!!! Sponsored",5,Fake,2021-05-22
132,user_1131,Charminar,India,"I was the only one there, place was empty and staff gave me a private tour (100% true). 10/10!!!",5,Fake,2023-08-11
146,user_1145,Hawa Mahal,India,"This place guarantees miracles — best in the world, no competition! 10/10!!!",1,Fake,2025-09-02
109,user_1108,Hawa Mahal,India,Unbelievable deal — totally free entrance. Click here to get ticket!! 10/10!!!,5,Fake,2023-05-02
144,user_1143,Arunachalam Temple,India,"Do not go — they steal your money. Terrible service, never coming back! Best deal!!!",5,Fake,2021-09-02
